timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65
2025-06-04 15:18:49,42696.8,42692.1,5358.5,5357.8,5357.6,4787.3,4786.5,4787.6,15886.0,15885.5,15886.0,7614.8,7614.8,7612.9,9768.4,9767.9,107660.8,107610.3,41309.5,41337.4,41343.0,8246.7,8247.9,8247.9,15649.4,15649.9,15649.3,19157.5,19163.6,19160.5,27089.1,27082.4,51991.9,52000.9,27822.2,27821.2,27821.5,28651.7,28647.1,28642.6,47498.9,47507.0,47507.8,28646.1,28643.3,28647.5,72606.7,72596.9,8008.4,8008.3,9136.9,9135.2,9136.1,22202.5,22204.5,22200.3,8948.4,8945.8,8948.4,8525.7,8527.0,8527.4,9510.8,9509.3,27.280001,32.810001
2025-06-04 15:18:52,42707.6,42715.9,5357.5,5356.2,5356.5,4787.3,4786.4,4788.0,15886.8,15885.7,15885.7,7614.2,7615.1,7615.1,9769.7,9767.6,107700.8,107666.1,41309.5,41299.7,41308.9,8245.6,8248.2,8247.1,15650.4,15650.3,15648.8,19172.3,19162.5,19178.8,27082.4,27089.4,51966.2,52010.5,27811.6,27805.4,27815.3,28648.7,28637.0,28644.5,47515.9,47516.7,47516.1,28648.6,28651.7,28640.1,72623.7,72603.5,8005.8,8005.6,9136.4,9131.8,9133.2,22198.1,22194.2,22201.5,8950.6,8950.8,8949.6,8520.4,8523.5,8524.5,9509.2,9508.8,27.299999,32.810001
2025-06-04 15:18:54,42702.8,42701.5,5356.3,5355.7,5356.6,4786.8,4786.8,4786.2,15884.6,15885.2,15885.4,7613.1,7614.5,7612.4,9768.7,9768.8,107571.6,107429.7,41301.6,41297.2,41297.5,8250.9,8250.2,8246.7,15652.7,15652.6,15651.9,19163.1,19168.6,19162.8,27082.8,27090.0,52031.1,52050.1,27815.2,27809.0,27817.2,28649.0,28649.1,28640.2,47499.5,47509.8,47519.3,28637.0,28634.9,28625.0,72600.2,72609.5,8003.0,8003.8,9132.9,9131.6,9132.4,22200.5,22198.3,22201.7,8949.4,8950.3,8949.7,8522.1,8521.3,8522.9,9503.5,9503.3,27.299999,32.779999
2025-06-04 15:18:57,42727.2,42713.9,5357.0,5356.5,5356.7,4787.9,4786.2,4787.2,15886.6,15885.5,15887.0,7613.2,7614.2,7613.1,9767.1,9767.8,107609.3,107651.1,41304.4,41308.1,41304.3,8249.8,8247.8,8248.3,15648.8,15649.4,15650.4,19179.5,19175.6,19174.4,27084.0,27086.0,52047.7,52027.7,27809.0,27813.2,27822.0,28648.2,28634.8,28640.9,47486.3,47495.2,47495.3,28645.3,28648.1,28646.6,72594.4,72610.6,8000.1,8001.8,9132.4,9130.4,9131.8,22189.5,22187.8,22189.2,8946.5,8949.8,8947.8,8521.8,8518.5,8515.6,9510.5,9508.7,27.299999,32.82
2025-06-04 15:19:00,42713.4,42719.7,5357.0,5356.1,5355.9,4787.2,4787.4,4788.4,15884.4,15881.7,15882.8,7613.0,7613.3,7613.6,9766.4,9767.2,107594.5,107654.5,41343.6,41333.0,41341.4,8247.4,8246.7,8246.8,15649.3,15648.6,15649.8,19171.9,19170.1,19168.9,27083.4,27083.5,52013.2,51999.0,27829.4,27829.9,27838.2,28647.8,28636.7,28637.7,47499.6,47512.6,47509.1,28629.1,28631.3,28637.3,72661.0,72638.6,8001.0,8000.1,9135.5,9135.1,9134.0,22192.6,22192.4,22191.6,8952.7,8951.5,8950.7,8512.7,8518.1,8522.3,9503.4,9504.7,27.299999,32.73
2025-06-04 15:19:03,42713.2,42711.6,5356.8,5356.0,5355.9,4788.7,4787.5,4788.5,15883.7,15885.7,15885.4,7614.8,7613.5,7613.8,9767.6,9768.0,107559.6,107514.0,41323.9,41324.2,41347.0,8249.0,8248.4,8249.3,15647.3,15649.2,15648.2,19161.2,19166.5,19175.2,27086.0,27088.9,52010.8,52002.8,27828.8,27827.3,27834.3,28635.3,28636.6,28635.5,47504.5,47521.9,47499.2,28645.3,28633.1,28645.9,72619.5,72609.9,8006.9,8007.0,9138.1,9135.6,9132.2,22205.1,22199.1,22197.8,8946.8,8947.8,8948.7,8523.9,8522.8,8525.1,9511.6,9510.7,27.299999,32.73
2025-06-04 15:19:06,42703.6,42706.9,5358.0,5357.7,5357.7,4786.9,4786.8,4787.8,15884.4,15882.5,15883.0,7613.7,7613.6,7615.4,9769.2,9768.6,107599.0,107564.5,41304.0,41349.6,41311.3,8249.2,8251.1,8250.9,15650.1,15648.6,15646.6,19168.9,19166.0,19159.0,27092.1,27085.0,51990.1,51997.6,27807.0,27816.4,27828.6,28644.7,28637.6,28645.1,47488.8,47474.4,47480.8,28641.7,28645.4,28646.6,72579.4,72568.3,8008.3,8006.3,9135.2,9133.0,9134.2,22197.8,22196.8,22200.5,8947.6,8949.3,8947.8,8524.4,8529.3,8530.3,9505.8,9507.6,27.280001,32.73
2025-06-04 15:19:09,42705.4,42711.8,5357.0,5356.4,5356.4,4787.5,4787.1,4788.0,15885.4,15888.4,15887.5,7615.4,7613.3,7614.0,9769.3,9769.3,107546.2,107593.2,41327.1,41347.1,41338.8,8250.6,8249.7,8249.8,15647.9,15647.8,15648.6,19154.9,19144.1,19156.2,27090.5,27094.1,51970.5,51985.5,27816.8,27808.7,27810.2,28644.3,28638.3,28639.1,47499.1,47468.0,47488.5,28652.5,28655.6,28648.1,72610.7,72589.7,8006.9,8006.5,9132.8,9131.6,9130.5,22196.7,22197.1,22194.3,8956.4,8951.2,8951.0,8525.9,8527.7,8524.1,9509.9,9508.1,27.32,32.700001
2025-06-04 15:19:11,42715.3,42711.5,5357.2,5357.0,5356.6,4786.7,4787.7,4788.9,15884.8,15885.1,15885.4,7613.8,7611.8,7615.6,9766.5,9767.4,107553.3,107471.0,41337.4,41358.7,41331.8,8246.2,8245.0,8247.1,15648.4,15649.9,15648.3,19164.6,19168.6,19165.2,27086.1,27090.3,52016.3,51974.3,27824.3,27818.5,27816.5,28629.1,28625.6,28620.9,47489.0,47497.1,47526.2,28642.3,28644.8,28640.2,72662.4,72616.2,8004.6,8007.0,9133.9,9132.5,9130.1,22187.7,22184.8,22187.6,8948.1,8943.7,8942.9,8524.1,8520.4,8524.9,9503.6,9502.7,27.299999,32.700001
2025-06-04 15:19:14,42706.4,42714.7,5357.7,5357.3,5357.6,4786.7,4787.5,4788.0,15883.1,15883.8,15881.7,7613.6,7614.4,7615.5,9770.3,9768.3,107596.7,107493.3,41329.6,41346.4,41328.9,8248.0,8247.3,8246.7,15649.5,15647.6,15648.6,19156.2,19150.9,19166.7,27089.8,27087.1,51988.8,51954.0,27836.3,27824.5,27819.7,28621.2,28636.6,28629.1,47513.3,47515.5,47507.6,28657.9,28660.0,28664.3,72604.0,72590.2,8008.2,8007.3,9130.1,9128.8,9128.8,22197.1,22199.4,22199.9,8947.3,8943.4,8946.2,8523.3,8530.4,8532.0,9509.7,9505.6,27.299999,32.700001
